Archive/Tasking,Public/Private,Multistrip,Responsiveness,Order Number,Complete Date,Order Description,CAT ID,Sqkm,Charge ($),Charge (s),Order Notes
ARCHIVE,Public,N,Fresh,050276459010,1/6/2025,View-Ready (Standard) 2A,1050010040164B00,497.380,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276461010,1/6/2025,View-Ready (Standard) OR2A,104001009C049900,30.430,$30.43,00:00:00.059,N
ARCHIVE,Public,N,Fresh,050276462010,1/6/2025,View-Ready (Standard) 2A,104001009C049900,422.170,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276463010,1/6/2025,View-Ready (Standard) 2A,103001010BBD6500,332.120,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276464010,1/6/2025,View-Ready (Standard) OR2A,103001010BBD6500,96.330,$96.33,00:00:00.208,N
ARCHIVE,Public,N,Fresh,050276465010,1/6/2025,View-Ready (Standard) OR2A,103001010A6B4000,16.820,$16.82,00:00:00.036,N
ARCHIVE,Public,N,Fresh,050276466010,1/6/2025,View-Ready (Standard) 2A,103001010A6B4000,486.370,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276468010,1/6/2025,View-Ready (Standard) OR2A,103001010B10F500,20.510,$20.51,00:00:00.044,N
ARCHIVE,Public,N,Fresh,050276469010,1/6/2025,View-Ready (Standard) 2A,103001010B10F500,780.240,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276471010,1/6/2025,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,28.920,$28.92,00:00:00.062,N
ARCHIVE,Public,N,Fresh,050276472010,1/6/2025,View-Ready (Standard) 2A,###############################################################################################################################################################################################################################################################,1044.800,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276473010,1/6/2025,View-Ready (Standard) 2A,103001010BD42900,309.330,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276474010,1/6/2025,View-Ready (Standard) OR2A,103001010BD42900,55.740,$55.74,00:00:00.120,N
ARCHIVE,Public,N,Fresh,050276475010,1/6/2025,View-Ready (Standard) OR2A,10400100A1344C00,115.840,$115.84,00:00:00.224,N
ARCHIVE,Public,N,Fresh,050276476010,1/6/2025,View-Ready (Standard) 2A,10400100A1344C00,164.320,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050276477010,1/6/2025,View-Ready (Standard) OR2A,B11000110067BB00,22.200,$22.20,00:00:00.060,N
ARCHIVE,Public,N,Standard,050276478010,1/6/2025,View-Ready (Standard) 2A,B11000110067BB00,161.910,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050276480010,1/6/2025,View-Ready (Standard) 2A,###############################################################################################################################################################################################################################################################,1014.950,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050276481010,1/6/2025,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,42.490,$42.49,00:00:00.092,N
ARCHIVE,Public,N,Fresh,050276485010,1/6/2025,View-Ready (Standard) OR2A,103001010B1CF000,36.630,$36.63,00:00:00.079,N
ARCHIVE,Public,N,Fresh,050276486010,1/6/2025,View-Ready (Standard) 2A,103001010B1CF000,501.930,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276487010,1/6/2025,View-Ready (Standard) OR2A,104001009FD27000,105.310,$105.31,00:00:00.204,N
ARCHIVE,Public,N,Fresh,050276488010,1/6/2025,View-Ready (Standard) 2A,104001009FD27000,1082.770,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276489010,1/6/2025,View-Ready (Standard) OR2A,104001009FD4D400,16.150,$16.15,00:00:00.031,N
ARCHIVE,Public,N,Fresh,050276490010,1/6/2025,View-Ready (Standard) 2A,104001009FD4D400,223.440,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276491010,1/6/2025,View-Ready (Standard) OR2A,103001010BA38000,25.730,$25.73,00:00:00.056,N
ARCHIVE,Public,N,Fresh,050276492010,1/6/2025,View-Ready (Standard) 2A,103001010BA38000,333.280,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276493010,1/6/2025,View-Ready (Standard) OR2A,103001010AB4DF00,51.370,$51.37,00:00:00.111,N
ARCHIVE,Public,N,Fresh,050276494010,1/6/2025,View-Ready (Standard) 2A,103001010AB4DF00,336.100,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276495010,1/6/2025,View-Ready (Standard) 2A,103001010BC90600,1376.960,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276496010,1/6/2025,View-Ready (Standard) OR2A,103001010BC90600,30.410,$30.41,00:00:00.066,N
